name,slug,% of GDP,date_of_information,ranking,region
"Nicaragua","nicaragua","0.6","2023",151,"Central America and the Caribbean"
"Guyana","guyana","0.6","2023",152,"South America"
"Costa Rica","costa-rica","0.6","2023",153,"Central America and the Caribbean"
"Mongolia","mongolia","0.6","2023",154,"East and Southeast Asia"
"Gambia, The","gambia-the","0.6","2023",155,"Africa"
"Cabo Verde","cabo-verde","0.6","2023",156,"Africa"
"Sierra Leone","sierra-leone","0.6","2023",157,"Africa"
"Mexico","mexico","0.6","2023",158,"North America"
"Benin","benin","0.5","2023",159,"Africa"
"Moldova","moldova","0.5","2023",160,"Europe"
"Guatemala","guatemala","0.4","2023",161,"Central America and the Caribbean"
"Ghana","ghana","0.4","2023",162,"Africa"
"Zimbabwe","zimbabwe","0.3","2023",163,"Africa"
"Papua New Guinea","papua-new-guinea","0.3","2023",164,"East and Southeast Asia"
"Ireland","ireland","0.2","2023",165,"Europe"
"Laos","laos","0.2","2019",166,"East and Southeast Asia"
