name,slug,%,date_of_information,ranking,region
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","8.6","2023",147,"Africa"
"Czechia","czechia","8.3","2023",148,"Europe"
"Singapore","singapore","8.3","2023",149,"East and Southeast Asia"
"Kyrgyzstan","kyrgyzstan","8.2","2023",150,"Central Asia"
"Switzerland","switzerland","8","2023",151,"Europe"
"Burkina Faso","burkina-faso","8","2023",152,"Africa"
"United States","united-states","7.9","2023",153,"North America"
"Mozambique","mozambique","7.6","2023",154,"Africa"
"Guinea","guinea","7.3","2023",155,"Africa"
"El Salvador","el-salvador","7.2","2023",156,"Central America and the Caribbean"
"Ecuador","ecuador","7.2","2023",157,"South America"
"Korea, North","korea-north","7.1","2023",158,"East and Southeast Asia"
"Macau","macau","7","2023",159,"East and Southeast Asia"
"Philippines","philippines","6.9","2023",160,"East and Southeast Asia"
"Oman","oman","6.8","2023",161,"Middle East"
"Malawi","malawi","6.8","2023",162,"Africa"
"Tonga","tonga","6.7","2023",163,"Australia and Oceania"
"Cameroon","cameroon","6.4","2023",164,"Africa"
"Vietnam","vietnam","6.2","2023",165,"East and Southeast Asia"
"Mexico","mexico","6.1","2023",166,"North America"
"Israel","israel","6","2023",167,"Middle East"
"Germany","germany","6","2023",168,"Europe"
"Guatemala","guatemala","5.9","2023",169,"Central America and the Caribbean"
"Bahrain","bahrain","5.8","2023",170,"Middle East"
"Nigeria","nigeria","5.8","2023",171,"Africa"
"Ethiopia","ethiopia","5.6","2023",172,"Africa"
"Palau","palau","5.6","2014",173,"Australia and Oceania"
"Madagascar","madagascar","5.5","2023",174,"Africa"
"Ghana","ghana","5.5","2023",175,"Africa"
"Korea, South","korea-south","5.4","2023",176,"East and Southeast Asia"
"Bolivia","bolivia","5.3","2023",177,"South America"
"Thailand","thailand","5.3","2023",178,"East and Southeast Asia"
"Uganda","uganda","4.5","2023",179,"Africa"
"Moldova","moldova","4.2","2023",180,"Europe"
"Senegal","senegal","4.1","2023",181,"Africa"
"Japan","japan","4.1","2023",182,"East and Southeast Asia"
"Mali","mali","4.1","2023",183,"Africa"
"Cote d'Ivoire","cote-divoire","4","2023",184,"Africa"
"Guinea-Bissau","guinea-bissau","4","2023",185,"Africa"
"Benin","benin","3.9","2023",186,"Africa"
"Kazakhstan","kazakhstan","3.8","2023",187,"Central Asia"
"Papua New Guinea","papua-new-guinea","3.7","2023",188,"East and Southeast Asia"
"Sierra Leone","sierra-leone","3.6","2023",189,"Africa"
"Tanzania","tanzania","3.5","2023",190,"Africa"
"Togo","togo","3.3","2023",191,"Africa"
"Timor-Leste","timor-leste","3.2","2023",192,"East and Southeast Asia"
"Solomon Islands","solomon-islands","3","2023",193,"Australia and Oceania"
"Cuba","cuba","3","2023",194,"Central America and the Caribbean"
"Liberia","liberia","2.3","2023",195,"Africa"
"Laos","laos","2.2","2023",196,"East and Southeast Asia"
"Burundi","burundi","1.7","2023",197,"Africa"
"Chad","chad","1.5","2023",198,"Africa"
"Niger","niger","0.8","2023",199,"Africa"
"Cambodia","cambodia","0.8","2023",200,"East and Southeast Asia"
"Qatar","qatar","0.6","2023",201,"Middle East"
