name,slug,value,date_of_information,ranking,region
"Antigua and Barbuda","antigua-and-barbuda","27,000","2021",168,"Central America and the Caribbean"
"Grenada","grenada","26,000","2021",169,"Central America and the Caribbean"
"Madagascar","madagascar","26,000","2022",170,"Africa"
"Bermuda","bermuda","25,000","2021",171,"North America"
"British Virgin Islands","british-virgin-islands","23,000","2021",172,"Central America and the Caribbean"
"Bhutan","bhutan","20,000","2022",173,"South Asia"
"Northern Mariana Islands","northern-mariana-islands","20,000","2021",174,"Australia and Oceania"
"Seychelles","seychelles","19,000","2022",175,"Africa"
"Belize","belize","19,000","2021",176,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","17,000","2020",177,"Africa"
"Gibraltar","gibraltar","17,000","2022",178,"Europe"
"San Marino","san-marino","16,000","2022",179,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","16,000","2021",180,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","15,000","2021",181,"Europe"
"Burundi","burundi","15,000","2022",182,"Africa"
"Saint Lucia","saint-lucia","14,000","2021",183,"Central America and the Caribbean"
"Maldives","maldives","13,000","2022",184,"South Asia"
"Equatorial Guinea","equatorial-guinea","11,000","2022",185,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","11,000","2022",186,"Central America and the Caribbean"
"Tonga","tonga","11,000","2021",187,"Australia and Oceania"
"Liechtenstein","liechtenstein","11,000","2022",188,"Europe"
"Rwanda","rwanda","10,000","2022",189,"Africa"
"American Samoa","american-samoa","10,000","2021",190,"Australia and Oceania"
"Malawi","malawi","9,000","2022",191,"Africa"
"Palau","palau","8,000","2022",192,"Australia and Oceania"
"Cook Islands","cook-islands","7,000","2021",193,"Australia and Oceania"
"Lesotho","lesotho","7,000","2022",194,"Africa"
"Solomon Islands","solomon-islands","7,000","2021",195,"Australia and Oceania"
"Dominica","dominica","7,000","2021",196,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","7,000","2021",197,"Australia and Oceania"
"Comoros","comoros","7,000","2022",198,"Africa"
"Greenland","greenland","6,000","2020",199,"North America"
"Anguilla","anguilla","6,000","2021",200,"Central America and the Caribbean"
"Liberia","liberia","6,000","2021",201,"Africa"
"Haiti","haiti","6,000","2021",202,"Central America and the Caribbean"
"Samoa","samoa","5,000","2022",203,"Australia and Oceania"
"Chad","chad","5,000","2022",204,"Africa"
"Guinea-Bissau","guinea-bissau","4,800","2009",205,"Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","4,800","2015",206,"North America"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","4,000","2021",207,"Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","4,000","2021",208,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","3,000","2021",209,"Australia and Oceania"
"Vanuatu","vanuatu","3,000","2022",210,"Australia and Oceania"
"Montserrat","montserrat","3,000","2020",211,"Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","3,000","2022",212,"Africa"
"Timor-Leste","timor-leste","2,000","2022",213,"East and Southeast Asia"
"Marshall Islands","marshall-islands","2,000","2014",214,"Australia and Oceania"
"Central African Republic","central-african-republic","2,000","2021",215,"Africa"
"Tuvalu","tuvalu","2,000","2021",216,"Australia and Oceania"
"Benin","benin","2,000","2022",217,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","2,000","2021",218,"South America"
"Niue","niue","1,000","2021",219,"Australia and Oceania"
"Tokelau","tokelau","300","2010",220,"Australia and Oceania"
"Sierra Leone","sierra-leone","269","2021",221,"Africa"
"Guinea","guinea","0","2021",222,"Africa"
"Kiribati","kiribati","0","2022",223,"Australia and Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0","2021",224,"Africa"
