name,slug,value,date_of_information,ranking,region
"Kyrgyzstan","kyrgyzstan","289,000","2020",109,"Central Asia"
"Cote d'Ivoire","cote-divoire","260,097","2020",110,"Africa"
"Botswana","botswana","259,525","2020",111,"Africa"
"Mali","mali","243,806","2020",112,"Africa"
"Luxembourg","luxembourg","235,155","2020",113,"Europe"
"Cambodia","cambodia","233,732","2020",114,"East and Southeast Asia"
"Cuba","cuba","231,654","2020",115,"Central America and the Caribbean"
"Angola","angola","230,610","2020",116,"Africa"
"Malta","malta","213,419","2020",117,"Europe"
"Ethiopia","ethiopia","212,000","2020",118,"Africa"
"Macau","macau","208,000","2020",119,"East and Southeast Asia"
"Zimbabwe","zimbabwe","203,461","2020",120,"Africa"
"Montenegro","montenegro","184,176","2020",121,"Europe"
"Senegal","senegal","153,813","2020",122,"Africa"
"Bahrain","bahrain","148,928","2020",123,"Middle East"
"Iceland","iceland","141,816","2020",124,"Europe"
"Barbados","barbados","128,000","2020",125,"Central America and the Caribbean"
"Laos","laos","128,000","2020",126,"East and Southeast Asia"
"Somalia","somalia","119,000","2020",127,"Africa"
"Guyana","guyana","95,000","2020",128,"South America"
"Suriname","suriname","92,270","2020",129,"South America"
"Bahamas, The","bahamas-the","83,000","2020",130,"Central America and the Caribbean"
"Zambia","zambia","82,317","2020",131,"Africa"
"Ghana","ghana","78,371","2020",132,"Africa"
"Kuwait","kuwait","73,948","2020",133,"Middle East"
"Brunei","brunei","71,078","2020",134,"East and Southeast Asia"
"Namibia","namibia","71,063","2020",135,"Africa"
"Mozambique","mozambique","70,000","2020",136,"Africa"
"Nigeria","nigeria","65,313","2020",137,"Africa"
"French Polynesia","french-polynesia","64,000","2020",138,"Australia and Oceania"
"Maldives","maldives","63,685","2020",139,"South Asia"
"Uganda","uganda","58,594","2020",140,"Africa"
"Curacao","curacao","55,000","2020",141,"Central America and the Caribbean"
"New Caledonia","new-caledonia","55,000","2020",142,"Australia and Oceania"
"Togo","togo","52,706","2020",143,"Africa"
"Gabon","gabon","44,607","2020",144,"Africa"
"Jersey","jersey","39,699","2020",145,"Europe"
"Andorra","andorra","37,000","2020",146,"Europe"
"Belize","belize","36,000","2020",147,"Central America and the Caribbean"
"Seychelles","seychelles","34,966","2020",148,"Africa"
"Saint Lucia","saint-lucia","33,000","2020",149,"Central America and the Caribbean"
"Grenada","grenada","32,000","2020",150,"Central America and the Caribbean"
"Madagascar","madagascar","32,000","2020",151,"Africa"
"Haiti","haiti","31,000","2020",152,"Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","31,000","2020",153,"Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","30,000","2020",154,"Central America and the Caribbean"
"Benin","benin","29,981","2020",155,"Africa"
"Sudan","sudan","28,782","2020",156,"Africa"
"Afghanistan","afghanistan","26,570","2020",157,"South Asia"
"Guernsey","guernsey","25,336","2020",158,"Europe"
"Djibouti","djibouti","25,053","2020",159,"Africa"
"Cabo Verde","cabo-verde","24,839","2020",160,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","24,733","2020",161,"Central America and the Caribbean"
"Fiji","fiji","23,062","2020",162,"Australia and Oceania"
"Bermuda","bermuda","23,000","2020",163,"North America"
"Gibraltar","gibraltar","21,009","2020",164,"Europe"
"Papua New Guinea","papua-new-guinea","21,000","2020",165,"East and Southeast Asia"
"Monaco","monaco","20,877","2020",166,"Europe"
"Aruba","aruba","19,000","2020",167,"Central America and the Caribbean"
"Mauritania","mauritania","18,457","2020",168,"Africa"
"Faroe Islands","faroe-islands","18,443","2020",169,"Europe"
"Liechtenstein","liechtenstein","18,050","2020",170,"Europe"
"Rwanda","rwanda","17,685","2020",171,"Africa"
"Dominica","dominica","16,000","2020",172,"Central America and the Caribbean"
"Greenland","greenland","15,649","2020",173,"North America"
"Burkina Faso","burkina-faso","13,979","2020",174,"Africa"
"Liberia","liberia","13,000","2020",175,"Africa"
"Malawi","malawi","12,255","2020",176,"Africa"
"Niger","niger","12,000","2020",177,"Africa"
"Eswatini","eswatini","12,000","2020",178,"Africa"
"San Marino","san-marino","11,000","2020",179,"Europe"
"Turkmenistan","turkmenistan","10,000","2020",180,"Central Asia"
"Antigua and Barbuda","antigua-and-barbuda","8,000","2020",181,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","6,738","2020",182,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","6,000","2020",183,"Australia and Oceania"
"Tajikistan","tajikistan","6,000","2020",184,"Central Asia"
