name,slug,% (of GDP),date_of_information,ranking,region
"Ecuador","ecuador","13.04","2022",155,"South America"
"Canada","canada","12.83","2022",156,"North America"
"Malawi","malawi","12.78","2022",157,"Africa"
"Uganda","uganda","12.55","2022",158,"Africa"
"Egypt","egypt","12.52","2015",159,"Africa"
"Ghana","ghana","12.3","2022",160,"Africa"
"Bhutan","bhutan","12.28","2020",161,"South Asia"
"United States","united-states","12.18","2022",162,"North America"
"Laos","laos","12.11","2022",163,"East and Southeast Asia"
"Singapore","singapore","12.03","2022",164,"East and Southeast Asia"
"India","india","12.02","2018",165,"South Asia"
"Cote d'Ivoire","cote-divoire","11.94","2022",166,"Africa"
"Guatemala","guatemala","11.9","2022",167,"Central America and the Caribbean"
"Malaysia","malaysia","11.65","2022",168,"East and Southeast Asia"
"Indonesia","indonesia","11.6","2022",169,"East and Southeast Asia"
"Tanzania","tanzania","11.47","2023",170,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","11.41","2022",171,"Africa"
"Cameroon","cameroon","11.35","2021",172,"Africa"
"Germany","germany","11.23","2022",173,"Europe"
"Belarus","belarus","11.23","2022",174,"Europe"
"Argentina","argentina","11.15","2022",175,"South America"
"Russia","russia","10.97","2022",176,"Central Asia"
"Tajikistan","tajikistan","10.34","2022",177,"Central Asia"
"Paraguay","paraguay","10.27","2022",178,"South America"
"Angola","angola","10.09","2019",179,"Africa"
"Afghanistan","afghanistan","9.9","2017",180,"South Asia"
"Kazakhstan","kazakhstan","9.45","2021",181,"Central Asia"
"Madagascar","madagascar","9.25","2022",182,"Africa"
"Guinea-Bissau","guinea-bissau","9.16","2019",183,"Africa"
"Gabon","gabon","9.13","2021",184,"Africa"
"Switzerland","switzerland","9.1","2022",185,"Europe"
"Yemen","yemen","9","2017",186,"Middle East"
"Puerto Rico","puerto-rico","8.9","2017",187,"Central America and the Caribbean"
"South Sudan","south-sudan","8.5","FY2017/18",188,"Africa"
"Central African Republic","central-african-republic","8.21","2021",189,"Africa"
"Saudi Arabia","saudi-arabia","7.77","2022",190,"Middle East"
"China","china","7.7","2022",191,"East and Southeast Asia"
"Bangladesh","bangladesh","7.64","2021",192,"South Asia"
"Panama","panama","7.46","2021",193,"Central America and the Caribbean"
"Sudan","sudan","7.39","2016",194,"Africa"
